Property_Type,Location,Lat-Lon,Price_USD,Area_sqm,Bedrooms,Bathrooms,Year_Built,Parking_Spaces
Condominium,"Adama, Boku, Ganda 3",Lon: 39.2640 / Lat: 8.5462,193393,363,2,2.0,1983.0,2.0
Apartment,"Gondar, Arada, Zone 9","12.515394,37.439631",125950,168,zero,0.0,,0.0
Villa,"Adama, Dabe, Kebele 10",Lon: 39.2630 / Lat: 8.5222,"$424,269",351,3,3.0,2003.0,2.0
Villa,"Bahir Dar, Meshenti, Village 4","(11.67364, 37.41445)","$402,786",454 sqm,3,3.0,1998.0,0.0
Condominium,"Gondar, Arada, Zone 6","12.615522,37.473355",240138,316 sqm,2,3.0,2002.0,2.0
Apartment,"Gambella, Newland, Zone 4","8.190297,34.598523",194359,428,1,1.0,2024.0,0.0
Apartment,"Addis Ababa, Arada, Woreda 03 Admin","9.071756,38.679442",358635,337,2,2.0,2006.0,
Villa,"Gambella, Newland, Zone 1",Lon: 34.5095 / Lat: 8.1247,"$294,049",346,2,3.0,1996.0,1.0
Villa,"Assosa, Menge, Village Unit 2","10.105358,34.596732",113151,250,1,0.0,1973.0,0.0
Condominium,"Gambella, Tier-kidi, Block 2","8.272887,34.571741","$97,307",288,1,0.0,1972.0,0.0
Apartment,"Jimma, Jiren, Kebele 11","7.678833,36.819725",189036,289,1,1.0,2024.0,2.0
Villa,"Bahir Dar, Gish Abay, Sector 1","(11.57906, 37.37196)","$305,103",306,zero,0.0,2007.0,0.0
Villa,"Addis Ababa, Lideta, Zone 1","9.052511,38.828618","$385,376",278,zero,0.0,1995.0,0.0
Villa,"Bahir Dar, Meshenti, Village 11","11.506460,37.396779",525095,469,3,3.0,2006.0,2.0
Condominium,"Gondar, Fasiledes, Kebele 1","(12.58556, 37.50728)",156639,251,zero,,2013.0,0.0
Villa,"Jimma, Jiren, Kebele 12","(7.65329, 36.81078)",203425,262,1,0.0,2001.0,0.0
Apartment,"Harar, Abadir, Zone 4","9.282555,42.122628",156936,314 sqm,3,2.0,1988.0,0.0
Apartment,"Harar, Abadir, Zone 4","9.265382,42.127213","$248,916",470,4,3.0,1976.0,1.0
Villa,"Mekelle, Hawelti, Kebele 13","13.585278,39.460178","$351,076",332,1,2.0,2010.0,1.0
Villa,"Addis Ababa, Kirkos, Kebele 02","8.986011,38.729372","$794,502",500,4,4.0,1975.0,3.0
Villa,"Assosa, Sherkole, District 4","10.057317,34.513575","$235,188",379,1,1.0,2007.0,1.0
Condominium,"Bahir Dar, Gish Abay, Sector 9","(11.60859, 37.45099)",326913,425,4,4.0,2010.0,2.0
Condominium,"Gondar, Maraki, Community Block E","12.559666,37.388555",216267,358,3,2.0,2004.0,1.0
Condominium,"Dire Dawa, Kezira, Kebele 9","9.588923,41.810483",207253,341,2,3.0,,3.0
Condominium,"Bahir Dar, Tana, Kebele 9","(11.61952, 37.37997)",178767,331 sqm,zero,0.0,2024.0,1.0
Villa,"Adama, Goro, Rural Kebele 24","(8.52375, 39.31088)","$257,316",300,1,1.0,1989.0,0.0
Apartment,"Adama, Boku, Ganda 5","(8.52073, 39.18408)","$205,502",311,1,1.0,2013.0,1.0
Condominium,"Harar, Abadir, Zone 3","9.182569,42.225799",173297,315,2,2.0,2010.0,1.0
Condominium,"Assosa, Sherkole, District 5",,115817,310 sqm,2,1.0,1987.0,0.0
Apartment,"Addis Ababa, Bole, Kebele 05",Lon: 38.7523 / Lat: 9.0436,205858,222,1,1.0,1966.0,0.0
Condominium,"Jimma, Hermata, Area 5","(7.68280, 36.82641)",96602,219,2,3.0,,2.0
Villa,"Jimma, Jiren, Kebele 7","7.646269,36.824660",194324,303 sqm,zero,0.0,2017.0,0.0
Apartment,"Gondar, Arada, Zone 10","12.623618,37.480694","$148,554",295,1,1.0,1960.0,0.0
Condominium,"Dire Dawa, Kezira, Kebele 5","9.529142,41.840205",186845,424,1,0.0,2024.0,2.0
Condominium,"Harar, Amir-Nur, Block 14",Lon: 42.0636 / Lat: 9.2885,204449,374 sqm,2,2.0,2024.0,1.0
Condominium,"Harar, Jugol, Gate 3","9.200477,42.070276",196879,413,2,3.0,2024.0,2.0
Apartment,"Dire Dawa, Kezira, Kebele 9","9.622059,41.903783",286765,424,3,3.0,2007.0,2.0
Apartment,"Addis Ababa, Arada, Woreda 07 Admin","9.002944,38.757006",337559,386,1,2.0,2006.0,1.0
Villa,"Assosa, Sherkole, District 5","10.081796,34.540864","$238,205",386,2,2.0,2014.0,0.0
Apartment,"Gondar, Maraki, Community Block B","12.648876,37.460370","$113,567",216,zero,0.0,1982.0,0.0
Condominium,"Harar, Jugol, Gate 5","(9.26671, 42.17853)",62537,174 sqm,zero,,1974.0,0.0
Apartment,"Jimma, Jiren, Kebele 10","(7.63758, 36.89212)","$142,839",326 sqm,2,2.0,1981.0,1.0
Villa,"Gondar, Arada, Zone 11","(12.58276, 37.39397)","$452,018",436 sqm,2,1.0,2007.0,1.0
Condominium,"Assosa, Menge, Village Unit 5","(10.05984, 34.56328)",96113,301,2,2.0,1984.0,0.0
Villa,"Addis Ababa, Arada, Woreda 01 Admin","(9.01379, 38.83701)","$288,830",207,zero,1.0,,1.0
Condominium,"Bahir Dar, Gish Abay, Sector 9","(11.58252, 37.39086)","$148,556",255,1,2.0,1983.0,2.0
Condominium,"Adama, Boku, Ganda 3","8.579859,39.304944",169722,372 sqm,2,2.0,1997.0,1.0
Condominium,"Bahir Dar, Tana, Kebele 3","11.559626,37.372947","$129,752",246,1,0.0,1980.0,0.0
Villa,"Gondar, Maraki, Community Block D","12.610929,37.397610","$155,229",168,1,0.0,1968.0,0.0
Condominium,"Adama, Goro, Rural Kebele 25","8.465365,39.282556",171268,274,1,,1993.0,1.0
Condominium,"Harar, Amir-Nur, Block 17","(9.31431, 42.12800)",89377,202,1,1.0,1961.0,1.0
Apartment,"Gondar, Arada, Zone 11",Lon: 37.4632 / Lat: 12.6075,341242,364,3,4.0,1990.0,3.0
Apartment,"Mekelle, Kedamay Weyane, Community 10","13.579168,39.483015","$179,473",280 sqm,1,2.0,1983.0,0.0
Villa,"Mekelle, Kedamay Weyane, Community 9","13.561522,39.449878","$216,555",265,1,,1997.0,0.0
Condominium,"Adama, Dabe, Kebele 7","8.552451,39.380423","$146,939",313,2,,1969.0,
Villa,"Mekelle, Hadnet, Admin Unit 8","13.555350,39.465411",282072,419,2,2.0,,1.0
Condominium,"Gambella, Newland, Zone 4","8.250729,34.671579",171975,405 sqm,1,2.0,2007.0,2.0
Apartment,"Assosa, Menge, Village Unit 3",Lon: 34.5328 / Lat: 10.0790,149790,321,1,1.0,2006.0,1.0
Villa,"Assosa, Sherkole, District 2",Lon: 34.4952 / Lat: 10.0620,"$102,110",225,zero,1.0,1969.0,0.0
Apartment,"Mekelle, Kedamay Weyane, Community 5","13.577778,39.485299",233421,406,2,1.0,2014.0,0.0
Apartment,"Bahir Dar, Tana, Kebele 8","11.652679,37.351620",235107,395 sqm,2,2.0,2003.0,1.0
Apartment,"Jimma, Jiren, Kebele 2","7.587579,36.776660",174756,280,1,2.0,,2.0
Apartment,"Harar, Jugol, Gate 3",Lon: 42.1110 / Lat: 9.2729,"$231,410",434 sqm,3,3.0,2006.0,2.0
Condominium,"Assosa, Sherkole, District 2",Lon: 34.5579 / Lat: 10.0702,121157,331,1,1.0,2006.0,1.0
Condominium,"Gambella, Newland, Zone 2","8.251694,34.560799",107638,318,zero,0.0,2006.0,0.0
Villa,"Harar, Abadir, Zone 8",Lon: 42.0915 / Lat: 9.2933,299627,400,1,1.0,2016.0,1.0
Condominium,"Harar, Abadir, Zone 7","9.422632,42.121720","$95,341",227,zero,1.0,2019.0,0.0
Villa,"Jimma, Hermata, Area 14","7.582687,36.838046",322254,410 sqm,2,4.0,2011.0,2.0
Apartment,"Jimma, Hermata, Area 11","(7.62615, 36.73376)",258844,477,3,3.0,2019.0,2.0
Apartment,"Gondar, Fasiledes, Kebele 9","(12.61782, 37.43385)",138142,281,1,0.0,1979.0,1.0
Villa,"Dire Dawa, Kezira, Kebele 5","9.566128,41.922937",289770,284 sqm,2,1.0,1981.0,1.0
Apartment,"Bahir Dar, Meshenti, Village 3","11.538630,37.417397",346488,481,2,3.0,2016.0,3.0
Condominium,"Addis Ababa, Arada, Woreda 11 Admin","8.971990,38.825683","$287,488",353,zero,1.0,2024.0,
Villa,"Jimma, Hermata, Area 6","7.681028,36.746230",244721,302,2,3.0,1960.0,1.0
Apartment,"Bahir Dar, Tana, Kebele 4","(11.49394, 37.34767)",291319,374 sqm,2,2.0,2014.0,0.0
Apartment,"Addis Ababa, Kirkos, Kebele 02","9.048480,38.732764",125282,150,zero,0.0,1963.0,0.0
Apartment,"Assosa, Menge, Village Unit 1","9.963886,34.559601",131675,373,3,3.0,1974.0,0.0
Apartment,"Harar, Abadir, Zone 6","9.424352,42.111632","$73,741",163,zero,0.0,1970.0,0.0
Apartment,"Dire Dawa, Goro, Sector 2","(9.53778, 41.86109)",138144,269,1,1.0,1960.0,0.0
Condominium,"Assosa, Menge, Village Unit 3","10.036849,34.526608","$87,407",247,zero,0.0,1986.0,0.0
Apartment,"Adama, Boku, Ganda 1","8.581027,39.259596","$169,138",277,zero,0.0,1988.0,1.0
Condominium,"Jimma, Jiren, Kebele 10","7.700137,36.910887",148828,352 sqm,2,2.0,1990.0,1.0
Condominium,"Harar, Amir-Nur, Block 14","9.326394,42.152319",190321,378,2,3.0,2012.0,3.0
Apartment,"Bahir Dar, Meshenti, Village 6","11.589447,37.402834","$158,487",284,1,1.0,1982.0,0.0
Villa,"Harar, Abadir, Zone 2",,196926,312,zero,0.0,2005.0,0.0
Condominium,"Dire Dawa, Goro, Sector 3","(9.53395, 42.00180)",183472,264,2,2.0,2005.0,1.0
Condominium,"Mekelle, Kedamay Weyane, Community 5",Lon: 39.4513 / Lat: 13.4843,209094,405,1,2.0,2024.0,2.0
Apartment,"Jimma, Hermata, Area 13","7.597746,36.897372","$84,158",173,zero,0.0,1981.0,0.0
Villa,"Bahir Dar, Tana, Kebele 1","(11.56097, 37.35448)","$607,001",390,2,3.0,2024.0,5.0
Condominium,"Bahir Dar, Tana, Kebele 10","11.519361,37.290993",352045,487 sqm,4,5.0,1985.0,5.0
Villa,"Harar, Amir-Nur, Block 16","9.283704,42.150623",499183,500,4,3.0,2007.0,3.0
Condominium,"Addis Ababa, Arada, Woreda 05 Admin",,367774,394,3,2.0,1998.0,2.0
Villa,"Gondar, Arada, Zone 7","12.655693,37.518829","$454,572",410,3,2.0,2002.0,1.0
Apartment,"Assosa, Menge, Village Unit 8","10.077841,34.576851",199547,435,3,3.0,2014.0,3.0
Villa,"Bahir Dar, Meshenti, Village 2","11.656179,37.406914","$317,266",289 sqm,1,1.0,2024.0,2.0
Villa,"Mekelle, Kedamay Weyane, Community 5","13.531268,39.446911","$331,827",336,3,3.0,1982.0,
Condominium,"Bahir Dar, Meshenti, Village 7","11.639862,37.432401","$98,696",164 sqm,1,2.0,1960.0,0.0
Villa,"Dire Dawa, Goro, Sector 1",Lon: 41.8478 / Lat: 9.6575,291213,293,1,1.0,2008.0,1.0
Villa,"Dire Dawa, Goro, Sector 6",,"$371,696",407 sqm,3,3.0,2009.0,2.0
Apartment,"Bahir Dar, Gish Abay, Sector 2","(11.51086, 37.38617)",273402,301 sqm,2,2.0,2016.0,3.0
Apartment,"Bahir Dar, Meshenti, Village 8","(11.53662, 37.34450)",196624,234,zero,1.0,2001.0,1.0
Villa,"Adama, Dabe, Kebele 14","8.500406,39.266846",309756,346 sqm,2,2.0,1975.0,1.0
Apartment,"Assosa, Menge, Village Unit 1",Lon: 34.4833 / Lat: 10.0932,"$119,674",308,1,1.0,2009.0,0.0
Apartment,"Assosa, Sherkole, District 1","10.028202,34.508560",69708,154,1,1.0,1982.0,0.0
Condominium,"Dire Dawa, Goro, Sector 6","9.609785,41.970510","$110,926",229 sqm,zero,0.0,2005.0,0.0
Apartment,"Adama, Dabe, Kebele 11","(8.55956, 39.34309)","$124,062",169,zero,0.0,1986.0,1.0
Condominium,"Addis Ababa, Arada, Woreda 10 Admin","(9.02168, 38.72516)",203078,237 sqm,1,1.0,1970.0,0.0
Condominium,"Adama, Boku, Ganda 10",Lon: 39.3037 / Lat: 8.5572,"$129,576",277 sqm,2,1.0,1980.0,
Apartment,"Adama, Dabe, Kebele 6","(8.40089, 39.25057)",288555,446 sqm,3,3.0,2011.0,3.0
Condominium,"Assosa, Menge, Village Unit 2","9.977647,34.538299",163716,468,3,2.0,,0.0
Villa,"Harar, Jugol, Gate 5","9.271712,42.142759",276810,306,2,2.0,1988.0,2.0
Villa,"Harar, Amir-Nur, Block 14","9.296735,42.146771",244521,363,3,2.0,1981.0,0.0
Apartment,"Harar, Jugol, Gate 5",,129109,290,2,2.0,1991.0,1.0
Apartment,"Dire Dawa, Goro, Sector 7","9.560014,41.856070",172172,312,3,3.0,1982.0,1.0
Condominium,"Jimma, Hermata, Area 6","7.690029,36.816824","$80,276",254 sqm,zero,0.0,1992.0,0.0
Condominium,"Harar, Amir-Nur, Block 14",Lon: 42.1224 / Lat: 9.4168,167447,399,2,3.0,1997.0,2.0
Apartment,"Assosa, Menge, Village Unit 8","10.020215,34.506075","$163,910",464,2,2.0,2002.0,2.0
Villa,"Assosa, Sherkole, District 5","(10.05769, 34.50697)",124473,213 sqm,2,1.0,1967.0,0.0
Villa,"Adama, Boku, Ganda 7","(8.54045, 39.16286)",291435,361,2,3.0,,1.0
Apartment,"Mekelle, Kedamay Weyane, Community 9","13.491168,39.406781",118586,150 sqm,zero,0.0,2000.0,
Condominium,"Harar, Amir-Nur, Block 15","(9.16535, 42.14637)",71219,194,1,0.0,1960.0,0.0
Condominium,"Bahir Dar, Meshenti, Village 10","11.579827,37.364712",294198,494,2,3.0,2024.0,4.0
Apartment,"Gambella, Tier-kidi, Block 6","8.229926,34.528177",192423,368,2,2.0,,
Apartment,"Bahir Dar, Tana, Kebele 3",Lon: 37.3389 / Lat: 11.5892,144303,223 sqm,zero,0.0,,0.0
Condominium,"Assosa, Menge, Village Unit 4","9.960319,34.551175","$113,680",271,2,,2002.0,0.0
Apartment,"Gambella, Newland, Zone 3","8.232338,34.554373",190630,358,2,2.0,2001.0,2.0
Condominium,"Gambella, Newland, Zone 4","8.295199,34.581864","$100,250",232,2,2.0,1984.0,0.0
Villa,"Gambella, Tier-kidi, Block 5","8.275127,34.596907",193684,239,1,1.0,1990.0,0.0
Condominium,"Bahir Dar, Meshenti, Village 6","11.493890,37.374562",116745,180 sqm,zero,0.0,1995.0,0.0
Condominium,"Addis Ababa, Arada, Woreda 08 Admin","9.048977,38.737499",321969,401 sqm,2,2.0,,2.0
Villa,"Assosa, Sherkole, District 3","(9.98716, 34.59009)",207869,404 sqm,2,2.0,2011.0,1.0
Villa,"Addis Ababa, Lideta, Zone 6",Lon: 38.7233 / Lat: 9.1050,501687,277,zero,1.0,2014.0,3.0
Condominium,"Mekelle, Hawelti, Kebele 3","13.497398,39.467579",130601,298 sqm,1,2.0,1978.0,0.0
Villa,"Addis Ababa, Lideta, Zone 4","8.990908,38.727396","$215,111",150 sqm,zero,0.0,1964.0,
Villa,"Addis Ababa, Arada, Woreda 11 Admin",,408108,278 sqm,1,1.0,2000.0,0.0
Condominium,"Gambella, Tier-kidi, Block 5","8.285403,34.598206",102801,300,zero,0.0,2017.0,0.0
Apartment,"Assosa, Menge, Village Unit 2",Lon: 34.4744 / Lat: 10.0307,160260,292,one,3.0,1992.0,2.0
Condominium,"Gambella, Tier-kidi, Block 7","8.338119,34.518985",95776,278,1,1.0,1979.0,
Condominium,"Bahir Dar, Meshenti, Village 3","11.618062,37.331396",138254,267,1,1.0,1960.0,0.0
Condominium,"Mekelle, Hadnet, Admin Unit 3","13.565055,39.454218",147303,249 sqm,1,1.0,2004.0,1.0
Apartment,"Addis Ababa, Bole, Kebele 06","(9.01278, 38.64619)",345605,323 sqm,1,1.0,2024.0,
Condominium,"Gondar, Maraki, Community Block E",Lon: 37.4539 / Lat: 12.5588,"$209,030",362,zero,1.0,2024.0,1.0
Apartment,"Jimma, Hermata, Area 5","(7.59700, 36.83320)",238769,425,2,,2017.0,2.0
Villa,"Jimma, Hermata, Area 6","7.735721,36.720878","$219,151",356,2,2.0,1981.0,1.0
Condominium,"Dire Dawa, Goro, Sector 7","9.607718,41.793566",212882,449,2,1.0,2015.0,0.0
Condominium,"Jimma, Jiren, Kebele 9","(7.77952, 36.87428)","$177,770",436 sqm,one,3.0,2005.0,2.0
Villa,"Mekelle, Hawelti, Kebele 13",,253270,258,1,1.0,2009.0,1.0
Apartment,"Gondar, Fasiledes, Kebele 9","12.643376,37.433306","$274,036",431 sqm,1,2.0,2024.0,2.0
Apartment,"Gondar, Fasiledes, Kebele 3",,"$224,240",300,zero,0.0,1995.0,0.0
Apartment,"Jimma, Hermata, Area 10","7.660633,36.854438",224388,500,3,3.0,2016.0,4.0
Condominium,"Dire Dawa, Kezira, Kebele 3","9.601134,41.933096",146455,263,2,2.0,1983.0,0.0
Apartment,"Mekelle, Hadnet, Admin Unit 8",Lon: 39.4851 / Lat: 13.6171,254734,449 sqm,2,2.0,2019.0,2.0
Villa,"Bahir Dar, Tana, Kebele 7","11.600738,37.412094",346775,446,3,3.0,1987.0,2.0
Villa,"Addis Ababa, Kirkos, Kebele 03","(9.07057, 38.73310)","$455,576",273,1,1.0,1972.0,0.0
Apartment,"Gondar, Maraki, Community Block C","12.632060,37.390869","$233,191",335,3,3.0,1967.0,0.0
Apartment,"Assosa, Menge, Village Unit 9","9.962452,34.484900",129511,293,1,2.0,1996.0,0.0
Condominium,"Assosa, Menge, Village Unit 6","10.094842,34.543333","$159,716",430 sqm,2,3.0,2013.0,2.0
Apartment,"Adama, Goro, Rural Kebele 28","8.593803,39.229816",111909,191 sqm,1,0.0,1984.0,0.0
Villa,"Jimma, Hermata, Area 12","(7.62207, 36.88600)",259218,346 sqm,3,3.0,1970.0,1.0
Apartment,"Assosa, Menge, Village Unit 8","9.968655,34.501900","$75,637",167 sqm,zero,0.0,1980.0,0.0
Villa,"Addis Ababa, Lideta, Zone 1","(9.06399, 38.75668)",367808,249,one,0.0,1988.0,0.0
Condominium,"Dire Dawa, Kezira, Kebele 5","9.530404,41.848849",78985,160,zero,0.0,1979.0,0.0
Apartment,"Harar, Abadir, Zone 5","9.233550,42.088415","$142,338",235,zero,0.0,2011.0,0.0
Villa,"Jimma, Hermata, Area 12","7.606079,36.831732",178308,271,zero,1.0,1982.0,
Apartment,"Gondar, Fasiledes, Kebele 7",Lon: 37.4663 / Lat: 12.6478,"$275,497",425,3,3.0,1993.0,2.0
Villa,"Adama, Goro, Rural Kebele 21","8.537674,39.230749",335948,406 sqm,1,2.0,2009.0,1.0
Villa,"Gambella, Tier-kidi, Block 3",Lon: 34.5224 / Lat: 8.2266,"$98,910",164,1,0.0,1970.0,0.0
Condominium,"Addis Ababa, Bole, Kebele 08","9.004822,38.726808",180700,202,1,0.0,1960.0,0.0
Apartment,"Dire Dawa, Kezira, Kebele 3","(9.48506, 41.87265)",172890,282,1,1.0,1975.0,1.0
Condominium,"Bahir Dar, Gish Abay, Sector 4","(11.66968, 37.34608)",115718,230,1,0.0,1968.0,0.0
Apartment,"Mekelle, Kedamay Weyane, Community 3","13.496325,39.494591",153569,381,1,1.0,2001.0,1.0
Villa,"Mekelle, Kedamay Weyane, Community 10","(13.54764, 39.51430)",411417,434,2,1.0,2016.0,2.0
Villa,"Dire Dawa, Goro, Sector 2",Lon: 41.8584 / Lat: 9.6907,"$353,158",396,1,1.0,2014.0,1.0
Villa,"Bahir Dar, Tana, Kebele 7","11.698371,37.479677",325654,330,1,0.0,1981.0,1.0
Apartment,"Assosa, Sherkole, District 1","10.029400,34.552260",72760,229 sqm,zero,0.0,1988.0,0.0
Villa,"Addis Ababa, Lideta, Zone 6","9.010929,38.802361",395130,218,zero,0.0,2024.0,0.0
Villa,"Dire Dawa, Goro, Sector 2",,"$300,089",298 sqm,zero,1.0,2024.0,0.0
Condominium,"Mekelle, Hawelti, Kebele 9","13.535709,39.547406",134620,282,1,1.0,1987.0,0.0
Villa,"Jimma, Jiren, Kebele 11","7.703512,36.739819",190371,219,zero,0.0,2007.0,0.0
Villa,"Addis Ababa, Arada, Woreda 06 Admin",,285820,245,1,1.0,1983.0,0.0
Apartment,"Bahir Dar, Tana, Kebele 8","11.549490,37.421937",239595,349 sqm,1,2.0,1993.0,0.0
Villa,"Gambella, Newland, Zone 1","8.267300,34.525691",199865,371,2,2.0,1970.0,0.0
Villa,"Adama, Dabe, Kebele 7","8.587762,39.292241",258625,150 sqm,zero,0.0,2017.0,0.0
Villa,"Addis Ababa, Lideta, Zone 1","9.066077,38.772123","$751,453",417 sqm,3,4.0,2024.0,3.0
Villa,"Harar, Abadir, Zone 8",Lon: 42.0484 / Lat: 9.3234,"$326,300",375 sqm,2,2.0,2013.0,1.0
Villa,"Bahir Dar, Gish Abay, Sector 5","11.588301,37.416901",243970,277,1,0.0,2013.0,0.0
Condominium,"Jimma, Jiren, Kebele 4","7.700745,36.809874",131203,319 sqm,2,2.0,2021.0,0.0
Condominium,"Jimma, Jiren, Kebele 4","7.655639,36.861620",190443,392,2,2.0,2004.0,3.0
Villa,"Jimma, Hermata, Area 10","7.612691,36.719030",310749,465 sqm,3,3.0,2005.0,1.0
Villa,"Bahir Dar, Meshenti, Village 4","11.535198,37.333552",234627,298,zero,,1979.0,0.0
Condominium,"Gambella, Tier-kidi, Block 5","8.280794,34.561883",98344,297,2,2.0,1986.0,1.0
Condominium,"Mekelle, Hawelti, Kebele 11","13.558781,39.428879","$276,029",452,4,4.0,2014.0,3.0
Villa,"Harar, Amir-Nur, Block 13","9.299874,42.154647",138724,224,zero,0.0,1972.0,0.0
Apartment,"Assosa, Menge, Village Unit 2","9.988106,34.496616",124711,357,2,2.0,1971.0,0.0
Condominium,"Harar, Amir-Nur, Block 17","9.281362,42.189898",143534,313,one,1.0,2019.0,2.0
Condominium,"Mekelle, Hadnet, Admin Unit 9",Lon: 39.4313 / Lat: 13.4690,"$185,862",405,2,3.0,2005.0,1.0
Apartment,"Adama, Goro, Rural Kebele 24","8.584899,39.265420",90538,180,zero,0.0,1969.0,0.0
Villa,"Addis Ababa, Bole, Kebele 02",,"$430,055",374 sqm,1,2.0,2012.0,1.0
Apartment,"Gondar, Fasiledes, Kebele 1","12.603728,37.456037","$91,976",150,zero,0.0,1960.0,0.0
Villa,"Assosa, Menge, Village Unit 5","10.069768,34.522129","$173,647",361,3,3.0,1963.0,0.0
Condominium,"Harar, Jugol, Gate 4",Lon: 42.1124 / Lat: 9.3524,"$89,012",199,1,1.0,2012.0,1.0
Villa,"Mekelle, Hawelti, Kebele 7","13.559296,39.528193",221724,328,1,1.0,1975.0,0.0
Villa,"Gambella, Tier-kidi, Block 2","8.201228,34.535923",184814,268,2,2.0,1983.0,1.0
Condominium,"Jimma, Hermata, Area 13",Lon: 36.7149 / Lat: 7.6405,98308,223,1,1.0,1982.0,0.0
Villa,"Mekelle, Hawelti, Kebele 2","13.560912,39.501324",231241,262,1,,1981.0,2.0
Apartment,"Adama, Dabe, Kebele 8","8.555398,39.141031",290265,438,2,1.0,2024.0,0.0
Villa,"Gondar, Fasiledes, Kebele 5","12.677430,37.405163",428558,398,3,3.0,1999.0,1.0
Apartment,"Adama, Boku, Ganda 4","8.546945,39.185734",164826,295 sqm,1,1.0,1976.0,0.0
Villa,"Assosa, Sherkole, District 4","(10.06324, 34.51385)",155973,357,2,1.0,1983.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 14","13.537733,39.527708",187510,387,1,1.0,2010.0,2.0
Villa,"Gondar, Fasiledes, Kebele 7",Lon: 37.4996 / Lat: 12.6890,344807,343,2,2.0,2002.0,2.0
Apartment,"Mekelle, Hadnet, Admin Unit 1","13.455534,39.525852","$262,295",451,3,3.0,2005.0,2.0
Condominium,"Addis Ababa, Kirkos, Kebele 02","9.015683,38.722075",328028,367,1,1.0,2001.0,
Condominium,"Assosa, Menge, Village Unit 3","(10.02635, 34.56612)",115839,320,2,2.0,2004.0,2.0
Condominium,"Dire Dawa, Goro, Sector 8","9.643629,41.805464",91187,154 sqm,zero,0.0,1996.0,0.0
Villa,"Harar, Abadir, Zone 3","9.385015,42.080331",206598,266,1,0.0,2009.0,1.0
Apartment,"Adama, Goro, Rural Kebele 25","8.616784,39.320455","$189,016",292 sqm,1,1.0,1996.0,1.0
Apartment,"Addis Ababa, Kirkos, Kebele 02",,276727,302,2,2.0,1977.0,1.0
Condominium,"Assosa, Sherkole, District 1","10.115064,34.522468",67405,233,zero,0.0,1970.0,0.0
Villa,"Mekelle, Kedamay Weyane, Community 12","13.377043,39.551076",298748,367,3,3.0,1977.0,
Condominium,"Addis Ababa, Arada, Woreda 06 Admin","8.970384,38.791256",346724,365,1,1.0,1996.0,2.0
Villa,"Dire Dawa, Goro, Sector 10","9.531860,41.937172","$344,364",331,2,2.0,2009.0,1.0
Apartment,"Gambella, Tier-kidi, Block 6","8.235192,34.589039",97560,261 sqm,zero,1.0,1984.0,0.0
Condominium,"Dire Dawa, Goro, Sector 7","9.541830,41.943374",293833,500,4,4.0,2004.0,3.0
Villa,"Bahir Dar, Gish Abay, Sector 5","11.551208,37.410553",170425,235 sqm,1,0.0,1985.0,0.0
Apartment,"Dire Dawa, Goro, Sector 1","9.584699,41.794584",197371,364,2,1.0,1960.0,0.0
Apartment,"Jimma, Hermata, Area 5",Lon: 36.8422 / Lat: 7.6553,"$138,027",345,2,1.0,1987.0,0.0
Villa,"Addis Ababa, Bole, Kebele 07","9.004805,38.777086",726513,478,4,5.0,1996.0,2.0
Villa,"Gambella, Tier-kidi, Block 3","8.195607,34.516737",224552,321,1,3.0,2014.0,0.0
Villa,"Assosa, Menge, Village Unit 4","10.084234,34.480368","$344,068",482,2,1.0,2024.0,0.0
Villa,"Gambella, Newland, Zone 1","8.209395,34.572307",218828,338,1,2.0,2016.0,2.0
Apartment,"Bahir Dar, Meshenti, Village 3","11.593592,37.283767",271296,342,2,2.0,1980.0,0.0
Apartment,"Dire Dawa, Goro, Sector 10","9.691317,41.876283",152215,268 sqm,1,3.0,1980.0,0.0
Condominium,"Gambella, Newland, Zone 3",Lon: 34.4979 / Lat: 8.2339,85714,271 sqm,1,0.0,1986.0,0.0
Apartment,"Jimma, Jiren, Kebele 5",,77620,166 sqm,1,,1960.0,0.0
Villa,"Harar, Jugol, Gate 3","9.354618,42.100944",276686,293,zero,0.0,1999.0,1.0
Apartment,"Dire Dawa, Goro, Sector 3","9.558388,41.915874",185434,370 sqm,1,1.0,1979.0,0.0
Apartment,"Adama, Boku, Ganda 1",,164253,245,1,1.0,1990.0,0.0
Condominium,"Bahir Dar, Gish Abay, Sector 7","11.551334,37.362850",197411,390,3,3.0,1972.0,1.0
Condominium,"Bahir Dar, Meshenti, Village 11","(11.62680, 37.36897)",268358,373,3,3.0,2015.0,2.0
Apartment,"Dire Dawa, Goro, Sector 4","9.556808,41.865850","$193,910",309 sqm,2,2.0,1981.0,0.0
Apartment,"Adama, Dabe, Kebele 14","8.551528,39.255429",197226,240 sqm,1,0.0,2013.0,1.0
Condominium,"Gambella, Tier-kidi, Block 5","8.248295,34.543835",74144,187 sqm,1,1.0,1973.0,0.0
Apartment,"Gondar, Fasiledes, Kebele 6","12.508305,37.502873","$96,572",164,zero,1.0,1962.0,0.0
Condominium,"Gambella, Newland, Zone 4",Lon: 34.6214 / Lat: 8.2892,113536,348,1,2.0,1992.0,1.0
Apartment,"Mekelle, Hawelti, Kebele 8","13.496112,39.428295","$171,651",274,1,1.0,1994.0,0.0
Apartment,"Bahir Dar, Meshenti, Village 8","11.543533,37.429118",216839,280,1,2.0,1987.0,1.0
